"type";"minutos";"segudos";"miliegundos";"tempo";"threads";"entrada"
"user";0;2;387;"2.387";0;"4k-a"
"user";0;2;377;"2.377";0;"4k-a"
"user";0;2;388;"2.388";0;"4k-a"
"user";0;2;381;"2.381";0;"4k-a"
"user";0;2;387;"2.387";0;"4k-a"
"user";0;2;382;"2.382";0;"4k-a"
"user";0;2;379;"2.379";0;"4k-a"
"user";0;2;378;"2.378";0;"4k-a"
"user";0;2;381;"2.381";0;"4k-a"
"user";0;2;372;"2.372";0;"4k-a"
"user";0;2;380;"2.380";0;"4k-a"
"user";0;2;381;"2.381";0;"4k-a"
"user";0;2;385;"2.385";0;"4k-a"
"user";0;2;373;"2.373";0;"4k-a"
"user";0;2;678;"2.678";0;"4k-b"
"user";0;2;662;"2.662";0;"4k-b"
"user";0;2;665;"2.665";0;"4k-b"
"user";0;2;682;"2.682";0;"4k-b"
"user";0;2;663;"2.663";0;"4k-b"
"user";0;2;670;"2.670";0;"4k-b"
"user";0;2;683;"2.683";0;"4k-b"
"user";0;2;669;"2.669";0;"4k-b"
"user";0;2;669;"2.669";0;"4k-b"
"user";0;2;680;"2.680";0;"4k-b"
"user";0;2;664;"2.664";0;"4k-b"
"user";0;2;675;"2.675";0;"4k-b"
"user";0;2;672;"2.672";0;"4k-b"
"user";0;2;660;"2.660";0;"4k-b"
"user";0;2;678;"2.678";0;"4k-b"
"user";0;2;664;"2.664";0;"4k-b"
"user";0;2;672;"2.672";0;"4k-b"
"user";0;2;666;"2.666";0;"4k-b"
"user";0;2;658;"2.658";0;"4k-b"
"user";0;2;674;"2.674";0;"4k-b"
"user";0;2;548;"2.548";0;"4k-c"
"user";0;2;554;"2.554";0;"4k-c"
"user";0;2;546;"2.546";0;"4k-c"
"user";0;2;553;"2.553";0;"4k-c"
"user";0;2;550;"2.550";0;"4k-c"
"user";0;2;552;"2.552";0;"4k-c"
"user";0;2;553;"2.553";0;"4k-c"
"user";0;2;547;"2.547";0;"4k-c"
"user";0;2;556;"2.556";0;"4k-c"
"user";0;2;542;"2.542";0;"4k-c"
"user";0;2;540;"2.540";0;"4k-c"
"user";0;2;548;"2.548";0;"4k-c"
"user";0;2;550;"2.550";0;"4k-c"
"user";0;2;551;"2.551";0;"4k-c"
"user";0;2;554;"2.554";0;"4k-c"
"user";0;2;552;"2.552";0;"4k-c"
"user";0;2;560;"2.560";0;"4k-c"
"user";0;2;563;"2.563";0;"4k-c"
"user";0;2;541;"2.541";0;"4k-c"
"user";0;2;546;"2.546";0;"4k-c"
"user";0;10;566;"10.566";0;"8k-a"
"user";0;10;568;"10.568";0;"8k-a"
"user";0;10;561;"10.561";0;"8k-a"
"user";0;10;618;"10.618";0;"8k-a"
"user";0;10;561;"10.561";0;"8k-a"
"user";0;10;602;"10.602";0;"8k-a"
"user";0;10;562;"10.562";0;"8k-a"
"user";0;10;606;"10.606";0;"8k-a"
"user";0;10;751;"10.751";0;"8k-a"
"user";0;10;647;"10.647";0;"8k-a"
"user";0;10;578;"10.578";0;"8k-a"
"user";0;10;608;"10.608";0;"8k-a"
"user";0;10;596;"10.596";0;"8k-a"
"user";0;10;619;"10.619";0;"8k-a"
"user";0;10;588;"10.588";0;"8k-a"
"user";0;10;624;"10.624";0;"8k-a"
"user";0;10;528;"10.528";0;"8k-a"
"user";0;10;574;"10.574";0;"8k-a"
"user";0;10;574;"10.574";0;"8k-a"
"user";0;10;573;"10.573";0;"8k-a"
"user";0;9;28;"9.28";0;"8k-b"
"user";0;9;20;"9.20";0;"8k-b"
"user";0;9;53;"9.53";0;"8k-b"
"user";0;9;23;"9.23";0;"8k-b"
"user";0;9;40;"9.40";0;"8k-b"
"user";0;9;61;"9.61";0;"8k-b"
"user";0;9;58;"9.58";0;"8k-b"
"user";0;9;42;"9.42";0;"8k-b"
"user";0;9;16;"9.16";0;"8k-b"
"user";0;9;136;"9.136";0;"8k-b"
"user";0;9;30;"9.30";0;"8k-b"
"user";0;9;52;"9.52";0;"8k-b"
"user";0;9;38;"9.38";0;"8k-b"
"user";0;9;55;"9.55";0;"8k-b"
"user";0;9;224;"9.224";0;"8k-b"
"user";0;9;6;"9.6";0;"8k-b"
"user";0;11;93;"11.93";0;"8k-b"
"user";0;9;20;"9.20";0;"8k-b"
"user";0;9;26;"9.26";0;"8k-b"
"user";0;9;32;"9.32";0;"8k-b"
"user";0;12;629;"12.629";0;"8k-c"
"user";0;12;681;"12.681";0;"8k-c"
"user";0;12;610;"12.610";0;"8k-c"
"user";0;12;579;"12.579";0;"8k-c"
"user";0;12;682;"12.682";0;"8k-c"
"user";0;12;580;"12.580";0;"8k-c"
"user";0;12;595;"12.595";0;"8k-c"
"user";0;12;589;"12.589";0;"8k-c"
"user";0;12;614;"12.614";0;"8k-c"
"user";0;12;603;"12.603";0;"8k-c"
"user";0;12;697;"12.697";0;"8k-c"
"user";0;12;585;"12.585";0;"8k-c"
"user";0;12;650;"12.650";0;"8k-c"
"user";0;12;760;"12.760";0;"8k-c"
"user";0;13;10;"13.10";0;"8k-c"
"user";0;12;824;"12.824";0;"8k-c"
"user";0;12;612;"12.612";0;"8k-c"
"user";0;12;604;"12.604";0;"8k-c"
"user";0;12;627;"12.627";0;"8k-c"
"user";0;12;623;"12.623";0;"8k-c"
"user";0;38;906;"38.906";0;"16k-a"
"user";0;38;857;"38.857";0;"16k-a"
"user";0;38;950;"38.950";0;"16k-a"
"user";0;39;92;"39.92";0;"16k-a"
"user";0;38;918;"38.918";0;"16k-a"
"user";0;38;879;"38.879";0;"16k-a"
"user";0;38;912;"38.912";0;"16k-a"
"user";0;38;970;"38.970";0;"16k-a"
"user";0;38;995;"38.995";0;"16k-a"
"user";0;38;875;"38.875";0;"16k-a"
"user";0;38;972;"38.972";0;"16k-a"
"user";0;38;998;"38.998";0;"16k-a"
"user";0;38;867;"38.867";0;"16k-a"
"user";0;38;912;"38.912";0;"16k-a"
"user";0;38;882;"38.882";0;"16k-a"
"user";0;39;28;"39.28";0;"16k-a"
"user";0;39;112;"39.112";0;"16k-a"
"user";0;38;895;"38.895";0;"16k-a"
"user";0;38;901;"38.901";0;"16k-a"
"user";0;38;842;"38.842";0;"16k-a"
"user";0;41;168;"41.168";0;"16k-b"
"user";0;39;70;"39.70";0;"16k-b"
"user";0;39;53;"39.53";0;"16k-b"
"user";0;39;48;"39.48";0;"16k-b"
"user";0;39;62;"39.62";0;"16k-b"
"user";0;39;26;"39.26";0;"16k-b"
"user";0;39;25;"39.25";0;"16k-b"
"user";0;38;999;"38.999";0;"16k-b"
"user";0;39;38;"39.38";0;"16k-b"
"user";0;39;89;"39.89";0;"16k-b"
"user";0;39;28;"39.28";0;"16k-b"
"user";0;39;79;"39.79";0;"16k-b"
"user";0;39;102;"39.102";0;"16k-b"
"user";0;39;114;"39.114";0;"16k-b"
